"zip","median_income_census"
"Geographic Area Name",NA
"14125",70294
"14126",167723
"14127",109386
"14129",68542
"14130",70114
"14131",85909
"14132",97210
"14134",NA
"14135",80833
"14136",69567
"14138",56868
"14139",86402
"14141",80906
"14143",95893
"14145",85114
"14150",71406
"14166",101629
"14167",67132
"14168",NA
"14169",61782
"14170",116746
"14171",75625
"14172",81330
"14173",NA
"14174",79695
"14201",40512
"14202",56528
"14203",56141
"14204",28182
"14206",50450
"14207",39753
"14208",48476
"14209",50046
"14210",54197
"14211",36300
"14212",44020
"14213",53870
"14214",58228
"14215",44955
"14216",69629
"14217",73800
"14218",54748
"14219",78569
"14220",70963
"14221",101615
"14222",81652
"14223",84161
"14224",80052
"14225",67237
"14226",84325
"14227",68928
"14228",74871
"14260",NA
"14261",NA
"14301",34549
"14302",NA
"14303",45646
"14304",66660
"14305",51004
"14411",55641
"14413",NA
"14414",72006
"14415",114028
"14416",80430
"14418",65577
"14420",75577
"14422",91786
"14423",80807
"14424",79778
"14425",94609
"14427",56490
"14428",91558
"14432",78017
"14433",66587
"14435",71865
"14437",66332
"14441",70833
"14445",73625
"14450",109466
"14453",NA
"14454",77857
"14456",81310
"14462",78194
"14463",46250
"14464",78600
"14466",108085
"14467",88653
"14468",98693
"14469",74521
"14470",65938
"14471",78405
"14472",129655
"14475",123917
"14476",90536
"14477",96607
"14478",86853
"14479",34572
"14480",57152
"14481",79135
"14482",74216
"14485",80341
"14486",131875
"14487",89688
"14489",68250
"14502",83330
"14504",65750
"14505",80382
"14506",126786
"14507",77273
"14510",61713
"14511",75375
"14512",77130
"14513",65309
"14514",86493
"14515",NA
"14516",76000
"14517",56088
"14519",85532
"14521",67198
"14522",75116
"14525",77102
"14526",118777
"14527",70758
"14529",74479
"14530",64576
"14532",81923
"14533",68170
"14534",143694
"14536",63125
"14537",NA
"14539",NA
"14541",77375
"14542",NA
"14543",122654
"14544",61118
"14545",1e+05
"14546",95046
"14548",83571
"14549",NA
"14550",52321
"14551",59167
"14555",81042
"14556",NA
"14557",NA
"14559",94794
"14560",75257
"14561",77857
"14564",115625
"14568",102604
"14569",61059
"14571",80833
"14572",72557
"14580",98310
"14585",NA
"14586",124457
"14588",NA
"14589",86885
"14590",55682
"14591",85804
"14592",85000
"14604",52105
"14605",21201
"14606",55807
"14607",59787
"14608",40646
